mosaic,period,blue,dayOfYear,green,nir,red,swir1,swir2
minnbr,2026_04,6066.81,535.97,6617.92,10270.43,6311.77,6757.73,5809.99
minnbr_buffer,2025_09,2122.32,0.0,2280.8,3454.65,2289.97,2516.73,2192.36
minnbr_buffer,2025_10,1911.95,0.0,2078.89,3125.7,2072.37,2217.56,1966.35
minnbr_buffer,2025_11,1691.12,0.0,1846.58,2730.66,1833.92,1928.47,1725.44
minnbr_buffer,2025_12,1843.57,0.0,1967.27,2791.59,1990.09,2068.39,1858.69
minnbr_buffer,2026_01,1219.04,0.0,1316.88,1829.65,1327.05,1339.81,1216.33
minnbr_buffer,2026_02,592.0,0.0,627.01,816.78,633.1,619.04,580.97
minnbr_buffer,2026_03,623.42,371.74,654.67,867.11,658.93,649.86,600.03
